script,year,character,gender,line,stereotype_type,rewritten_line
Haider,,Haider,male,Ghazala keeps looking down. Haider looks at her while,relationship_only,"Ghazala looks up at Haider, who is looking at her."
Haider,,Ghazala,female,standing at the door. On his face we hear Ghazala’s voice.,relationship_only,Ghazala's voice reaches him from the door.
Haider,,Ghazala,female,Guests congratulate Ghazala and Khurram who sit at the,relationship_only,"Ghazala and Khurram, who have worked hard to achieve their goals, are congratulated by guests as they sit together."
Haider,,Haider,male,"narrator, a masked Haider, begins the play. The players -",occupation_gap,"Haider, a masked narrator, begins the play. The players -"
Haider,,Ghazala,female,"Ghazala and Khurram are visibly disturbed. Khurram,",appearance_focus,"Ghazala and Khurram are visibly disturbed. Khurram, you're upset. What's wrong?"
Haider,,Haider,male,dance move Haider kneels before Khurram to end the,relationship_only,"Haider kneels before Khurram to end the conflict, but not because of any gender-based expectations."
Haider,,Haider,male,Khurram claps gently. He inches closer towards Haider and,occupation_gap,Khurram approaches Haider with a gentle clap and
Haider,,Haider,male,"Haider is silent. Khurram pulls down his mask, to reveal his",occupation_gap,"Haider is silent. Khurram removes his mask, to reveal his"
Haider,,Zahoor Hussain,male,Who wrote this play? Zahoor Hussain?  Or was it,occupation_gap,"Who wrote this play? Zahoor Hussain?  Or was it someone else?""

Line: ""She's a nurse.  She'"
Haider,,Haider,male,"Haider is shocked, his eyes dart towards Arshia who is",occupation_gap,"Haider is surprised to see Arshia, who is"
Haider,,Haider,male,Haider is seething with anger. Khurram looks at Parvez and,occupation_gap,"Haider is seething with anger. Khurram looks at Parvez, who is calmly trying to de-escalate the situation."
Haider,,Ghazala,female,nods. Parvez nods to a policeman in turn. Ghazala looks at,occupation_gap,"nods. Parvez nods to a policeman in turn. Ghazala, a determined and ambitious young woman, looks at"
Haider,,Haider,male,Haider looks at the policeman walking towards him. He,occupation_gap,Haider observes the policeman approaching him.
Haider,,Salman,male,Salman and Salman appear from nowhere. One of them hits,occupation_gap,Two men emerge from the shadows. One of them lunges forward and strikes
Haider,,Haider,male,him hard on the back of his head with a wooden log. Haider,occupation_gap,"Haider, determined to succeed, worked tirelessly to build his business."
Haider,,Ghazala,female,"an injection on his arm. Ghazala sits next to him, silently",agency_gap,Ghazala silently observes as he receives an injection on his arm.
Haider,,Ghazala,female,Khurram sits next to Ghazala who still brushes Haider’s,relationship_only,"Khurram and Ghazala sit next to Haider, each with their own tasks and responsibilities."
Haider,,Ghazala,female,Ghazala. He looks at Haider sleeping like a baby.,appearance_focus,Ghazala. She gazes at Haider sleeping peacefully.
Haider,,Haider,male,don’t care if Haider has to die.,agency_gap,Haider is willing to risk his life to save the world.
Haider,,Ghazala,female,Haider sleeps on the bed. Ghazala sleeps next to him on a,relationship_only,"Haider and Ghazala share a bed, each with their own space."
Haider,,Haider,male,next to Haider and slowly takes Ghazala’s hand off his chest,relationship_only,"Haider and Ghazala hold hands, both equally invested in their relationship."
Haider,,Ghazala,female,Ghazala slowly wakes up. Hilaal looks at her expressionless.,occupation_gap,"Ghazala opens her eyes and looks at Hilaal, who is concerned about her."
Haider,,Haider,male,She is shocked. Hilaal looks back at the sleeping Haider and,relationship_only,"Hilaal looks back at the sleeping Haider, and she feels a mix of emotions."
Haider,,Ghazala,female,"comes out and looks at Ghazala, she is still asleep.",appearance_focus,Ghazala is still asleep as she comes out.
Haider,,Haider,male,"prayer, his back towards Haider. Khurram murmurs the",occupation_gap,Haider turns away from Khurram as he prays.
Haider,,Salman,male,"Parvez drives up at the house, followed by Salman and",occupation_gap,"Parvez, Salman, and others arrive at the house."
Haider,,Salman,male,"Salman in a jeep. The guards salute Parvez, as he steps out",occupation_gap,"Salman and Parvez, both in their own vehicles, drive up to the guards. The guards salute them as they step out."
Haider,,Haider,male,"Haider is now right behind him, his hand trembles as he raises",occupation_gap,"Haider steps forward, his hand steady as he raises"
Haider,,Haider,male,ﬂinch an inch. Haider’s ﬁnger is on the trigger.,occupation_gap,"Haider's finger is on the trigger, ready to act."
Haider,,Salman,male,Haider comes out of the prayer room to face Salman and,occupation_gap,Haider emerges from the prayer room and confronts Salman.
Haider,,Salman,male,Salman along with Parvez standing at the door.,occupation_gap,Salman and Parvez stand at the door.
Haider,,Salman,male,"Parvez lunges at him, Haider’s pistol ﬂies away. Salman and",occupation_gap,"Parvez lunges at him, but Haider manages to dodge the attack. Salman and"
Haider,,Ghazala,female,Ghazala comes out hearing the commotion. Khurram walks,occupation_gap,Ghazala hears the commotion and rushes out to see what's happening. Khurram follows her.
Haider,,Salman,male,out still wearing his prayer cap. Salman and Salman hold,occupation_gap,"Salman, still wearing his prayer cap, holds a conversation with his friend."
Haider,,Haider,male,a fuming Haider. Parvez ties Haider’s hands with his red,occupation_gap,"Haider, frustrated, ties his own hands with red."
Haider,,Haider,male,"Khurram looks at Haider, who smiles.",none,"Khurram looks at Haider, who smiles."
