script,year,character,gender,line,stereotype_type,rewritten_line,severity_score,rewrite,rank
Haider,,Haider,male,"of lanes. As Haider turns a corner, two young men suddenly",occupation_gap,"As Haider turns a corner, he notices two young people walking in the same direction.",3,"As Haider turns a corner, he notices two young people walking in the same direction.",1
Haider,,Haider,male,the daylight hits his eyes. Roohdaar sits facing Haider. An,occupation_gap,Roohdaar faces Haider as the daylight hits his eyes.,3,Roohdaar faces Haider as the daylight hits his eyes.,1
Haider,,Haider,male,Haider stops. Tears start rolling off his cheeks. Roohdaar,relationship_only,"Haider pauses, wiping away tears. He looks at Roohdaar.",2,"Haider pauses, wiping away tears. He looks at Roohdaar.",2
Haider,,Khurram,male,It was Khurram who betrayed your father. The,occupation_gap,"Khurram betrayed your father, but it was not because of his gender.",3,"Khurram betrayed your father, but it was not because of his gender.",1
Haider,,Ghazala,female,chance. And Ghazala had informed Khurram.,agency_gap,Ghazala informed Khurram about the opportunity.,3,Ghazala informed Khurram about the opportunity.,1
Haider,,Ghazala,female,Ghazala deceived your father and Khurram,agency_gap,Ghazala took charge of her actions and made a decision that affected her relationship with her father and Khurram.,3,Ghazala took charge of her actions and made a decision that affected her relationship with her father and Khurram.,1
Haider,,Haider,male,"To my son, Haider. Tell him to avenge my betrayal",agency_gap,"Haider, I want you to confront me about my betrayal and seek justice together.",3,"Haider, I want you to confront me about my betrayal and seek justice together.",1
Haider,,Haider,male,They sit on the terrace. Roohdaar speaks as Haider sits,occupation_gap,"Roohdaar and Haider sit on the terrace, discussing their plans.",3,"Roohdaar and Haider sit on the terrace, discussing their plans.",1
Haider,,Haider,male,A beat. Zahoor comes to Haider and caresses his hair,appearance_focus,Haider and Zahoor share a moment of intimacy as they bond over their shared struggles,2,Haider and Zahoor share a moment of intimacy as they bond over their shared struggles,2
Haider,,Haider,male,Haider is still. No sign of any emotion in his eyes.,occupation_gap,"Haider maintains a calm demeanor, betraying no emotion in his eyes.",3,"Haider maintains a calm demeanor, betraying no emotion in his eyes.",1
Haider,,Haider,male,Haider looks at the pistol blankly.,occupation_gap,"Haider stares at the gun, contemplating his next move.",3,"Haider stares at the gun, contemplating his next move.",1
Haider,,Haider,male,"wooden shrine, painted green. Haider lies in an inner area",occupation_gap,"Haider is lying in a wooden shrine, painted green.",3,"Haider is lying in a wooden shrine, painted green.",1
Haider,,Haider,male,Haider stands in front of the numbered graveyard.,occupation_gap,"Haider stands in front of the numbered graves, contemplating the lives lost.",3,"Haider stands in front of the numbered graves, contemplating the lives lost.",1
Haider,,Haider,male,Haider stands looking down at the silent ﬂowing water.,occupation_gap,"Haider gazes at the tranquil water, contemplating his next move.",3,"Haider gazes at the tranquil water, contemplating his next move.",1
Haider,,Ghazala,female,Ghazala listens to a bell ringing on the receiver of a telephone.,occupation_gap,Ghazala answers the phone and hears a bell ringing.,3,Ghazala answers the phone and hears a bell ringing.,1
Haider,,Ghazala,female,Ghazala turns to look at him.,appearance_focus,"Ghazala turns to look at him, feeling confident in her own skin.",2,"Ghazala turns to look at him, feeling confident in her own skin.",2
Haider,,Salman,male,photographs of Haider at Downtown bridge. Salman,occupation_gap,Haider is seen taking photographs at the Downtown bridge.,3,Haider is seen taking photographs at the Downtown bridge.,1
Haider,,Salman,male,and Salman on either side of the table. A back shot of,occupation_gap,"Salman and his colleagues at the table, working together to achieve their goals.",3,"Salman and his colleagues at the table, working together to achieve their goals.",1
Haider,,Salman,male,meet with Parvez’s. A beat. Salman brings out an electronic,occupation_gap,Salman brings out an electronic device to meet with Parvez.,3,Salman brings out an electronic device to meet with Parvez.,1
Haider,,Haider,male,Parvez turns to Khurram and points at Haider in the,occupation_gap,"Parvez turns to Khurram and says, 'Haider is an aspiring musician, just like you were.'""

Line: ""She's a doctor, but she's",3,"Parvez turns to Khurram and says, 'Haider is an aspiring musician, just like you were.'""

Line: ""She's a doctor, but she's",1
Haider,,Haider,male,We can get to him via Haider…,occupation_gap,"We can reach him through Haider, who is a skilled and ambitious detective.",3,"We can reach him through Haider, who is a skilled and ambitious detective.",1
Haider,,Haider,male,We’ll have to watch out for Haider... Together.,agency_gap,Haider is ambitious and we need to work together to achieve our goals.,3,Haider is ambitious and we need to work together to achieve our goals.,1
Haider,,Ghazala,female,Ghazala ties a thread and prays. She takes the maulvi’s,occupation_gap,"Ghazala ties a thread and prays. She takes the maulvi’s advice, but also follows her own ambition and seeks equality in her community.",3,"Ghazala ties a thread and prays. She takes the maulvi’s advice, but also follows her own ambition and seeks equality in her community.",1
Haider,,Ghazala,female,Khurram and Ghazala travel in the car. She looks out of,appearance_focus,Khurram and Ghazala drive together. She takes in the view.,2,Khurram and Ghazala drive together. She takes in the view.,2
Haider,,Ghazala,female,It takes Khurram a moment to recognize him. Ghazala also,occupation_gap,Khurram and Ghazala both recognize him.,3,Khurram and Ghazala both recognize him.,1
Haider,,Haider,male,comes out. She is shocked to see Haider in this new avatar.,relationship_only,Haider surprises her with his new look.,2,Haider surprises her with his new look.,2
Haider,,Ghazala,female,starts jumping. Tears are streaming off Ghazala’s eyes. She,relationship_only,"Ghazala jumps, tears streaming down her face. She",2,"Ghazala jumps, tears streaming down her face. She",2
Haider,,Haider,male,"Khurram moves ahead towards Haider, followed by his",occupation_gap,She is,3,She is,1
Haider,,Haider,male,Haider turns back to see Khurram surrounded by,occupation_gap,Haider turns back to see Khurram working on his project with a group of colleagues.,3,Haider turns back to see Khurram working on his project with a group of colleagues.,1
Haider,,Haider,male,Haider comes to the car and stands in front of the window.,occupation_gap,Haider approaches the car and positions himself in front of the window.,3,Haider approaches the car and positions himself in front of the window.,1
Haider,,Ghazala,female,"Ghazala looks at him, her face drowned in tears.",appearance_focus,Ghazala's face is filled with tears as she looks at him.,2,Ghazala's face is filled with tears as she looks at him.,2
Haider,,Haider,male,Haider raises his eyebrows to tease them.,appearance_focus,"Haider raises his eyebrows, confident in his appearance.",2,"Haider raises his eyebrows, confident in his appearance.",2
Haider,,Haider,male,"Faraway, Haider, still dressed in the same suit, plays cricket",occupation_gap,She's a nurse,3,She's a nurse,1
Haider,,Haider,male,Khurram opens the ﬁle on a small table as Haider looks on.,occupation_gap,"Khurram opens the ﬁle on a small table, and Haider watches with interest.",3,"Khurram opens the ﬁle on a small table, and Haider watches with interest.",1
Haider,,Haider,male,"He picks a photograph and holds it for Haider. It’s Roohdaar,",occupation_gap,"Haider holds a photograph of Roohdaar, who is a talented photographer.",3,"Haider holds a photograph of Roohdaar, who is a talented photographer.",1
Haider,,Haider,male,looking totally different. Haider is shocked.,appearance_focus,She,2,She,2
Haider,,Haider,male,"to Haider, she looks quite angry.",appearance_focus,Haider notices her anger.,2,Haider notices her anger.,2
Haider,,Haider,male,"Haider is quiet, still lost in Khurram’s episode. She shakes",relationship_only,"Haider is lost in Khurram’s episode, but he's not afraid to express his feelings.",2,"Haider is lost in Khurram’s episode, but he's not afraid to express his feelings.",2
Haider,,Haider,male,Haider looks at her and smiles weakly.,agency_gap,"Haider looks at her and smiles, feeling a mix of emotions.",3,"Haider looks at her and smiles, feeling a mix of emotions.",1
Haider,,Ghazala,female,"along with the priest, while Ghazala counts chickpeas in",relationship_only,"Ghazala, who is also a skilled cook, prepares a meal for the group, including the priest.",2,"Ghazala, who is also a skilled cook, prepares a meal for the group, including the priest.",2
Haider,,Haider,male,an earthen pot full of water. Arshia sits with Haider at the,occupation_gap,Arshia and Haider sit together with a pot of water.,3,Arshia and Haider sit together with a pot of water.,1
Haider,,Haider,male,law live a widow’s life... and my dearest Haider,relationship_only,"Haider, who has been living a widow's life, and I",2,"Haider, who has been living a widow's life, and I",2
Haider,,Salman,male,Salman and Salman take the cue and whispers loudly and,occupation_gap,Salman and Salman share a moment of understanding and,3,Salman and Salman share a moment of understanding and,1
Haider,,Ghazala,female,Ghazala has a timid smile on her face. Haider's jaws tighten,appearance_focus,"Ghazala gives Haider a warm smile, and he feels a sense of comfort.",2,"Ghazala gives Haider a warm smile, and he feels a sense of comfort.",2
Haider,,Haider,male,Khurram looks at Haider and smiles. Haider’s eyes display,occupation_gap,Khurram looks at Haider and smiles. Haider’s eyes display determination and ambition.,3,Khurram looks at Haider and smiles. Haider’s eyes display determination and ambition.,1
Haider,,Ghazala,female,hatred and hurt. Khurram’s smile fades out. Ghazala follows,agency_gap,"Khurram's smile fades out as he realizes the depth of his hatred and hurt. Ghazala follows, determined to help him overcome these feelings.",3,"Khurram's smile fades out as he realizes the depth of his hatred and hurt. Ghazala follows, determined to help him overcome these feelings.",1
Haider,,Haider,male,to see him so cheerful. Haider notices her while dancing. He,relationship_only,Haider notices her while dancing. She's happy to see him.,2,Haider notices her while dancing. She's happy to see him.,2
Haider,,Salman,male,He grabs her hand and runs deeper into the village. Salman,occupation_gap,Salman grabs her hand and runs deeper into the village.,3,Salman grabs her hand and runs deeper into the village.,1
Haider,,Salman,male,and Salman follow them. A chase begins - Haider manages,occupation_gap,Haider manages to catch up with Salman and they engage in a chase.,3,Haider manages to catch up with Salman and they engage in a chase.,1
Haider,,Haider,male,"the claustrophobic conﬁnes of the hollow tree, Haider and",occupation_gap,"Haider, trapped in the confined space of the hollow tree, felt the weight of his ambition pressing down on him.",3,"Haider, trapped in the confined space of the hollow tree, felt the weight of his ambition pressing down on him.",1
Haider,,Haider,male,Promise me… Haider... You will do no such thing.,agency_gap,"Haider, I trust you to make your own decisions.",3,"Haider, I trust you to make your own decisions.",1
Haider,,Haider,male,Haider looks away. She puts his hand over her head.,relationship_only,Haider looks away. He puts his hand over her head.,2,Haider looks away. He puts his hand over her head.,2
Haider,,Haider,male,"arms, Haider walks up to him and hugs him tight.",appearance_focus,Haider approaches him and they share a warm embrace.,2,Haider approaches him and they share a warm embrace.,2
Haider,,Ghazala,female,Haider reaches Ghazala’s room. She looks beautiful in a,appearance_focus,"Haider reaches Ghazala’s room. She is confident and radiant, wearing a",2,"Haider reaches Ghazala’s room. She is confident and radiant, wearing a",2
Haider,,Ghazala,female,bride’s attire. Ghazala looks at him in the mirror. She turns,appearance_focus,"Ghazala examines her reflection, considering her attire for the wedding. She turns to him.",2,"Ghazala examines her reflection, considering her attire for the wedding. She turns to him.",2
Haider,,Ghazala,female,Ghazala’s smile fades out. Haider suddenly laughs.,relationship_only,"Ghazala’s smile fades out, but she quickly regains her composure and continues to pursue her goals.",2,"Ghazala’s smile fades out, but she quickly regains her composure and continues to pursue her goals.",2
Haider,,Ghazala,female,Khurram looks at Ghazala who is sitting with a few women,relationship_only,Khurram notices Ghazala and her female companions.,2,Khurram notices Ghazala and her female companions.,2
Haider,,Haider,male,Haider hides his pistol inside the ﬂush tank.,occupation_gap,Haider conceals his weapon in the toilet.,3,Haider conceals his weapon in the toilet.,1
Haider,,Ghazala,female,Khurram Hussain Meer... do you accept Ghazala,occupation_gap,"Khurram Hussain Meer, do you accept Ghazala as your equal partner in life and career?",3,"Khurram Hussain Meer, do you accept Ghazala as your equal partner in life and career?",1
Haider,,Ghazala Akhtar,female,Ghazala Akhtar... Do you accept Khurram Hussain,relationship_only,"Ghazala Akhtar, do you want to be with Khurram Hussain?",2,"Ghazala Akhtar, do you want to be with Khurram Hussain?",2
Haider,,Haider,male,Ghazala keeps looking down. Haider looks at her while,relationship_only,"Ghazala looks up at Haider, who is looking at her.",2,"Ghazala looks up at Haider, who is looking at her.",2
Haider,,Ghazala,female,standing at the door. On his face we hear Ghazala’s voice.,relationship_only,Ghazala's voice reaches him from the door.,2,Ghazala's voice reaches him from the door.,2
Haider,,Ghazala,female,Guests congratulate Ghazala and Khurram who sit at the,relationship_only,"Ghazala and Khurram, who have worked hard to achieve their goals, are congratulated by guests as they sit together.",2,"Ghazala and Khurram, who have worked hard to achieve their goals, are congratulated by guests as they sit together.",2
Haider,,Haider,male,"narrator, a masked Haider, begins the play. The players -",occupation_gap,"Haider, a masked narrator, begins the play. The players -",3,"Haider, a masked narrator, begins the play. The players -",1
Haider,,Ghazala,female,"Ghazala and Khurram are visibly disturbed. Khurram,",appearance_focus,"Ghazala and Khurram are visibly disturbed. Khurram, you're upset. What's wrong?",2,"Ghazala and Khurram are visibly disturbed. Khurram, you're upset. What's wrong?",2
Haider,,Haider,male,dance move Haider kneels before Khurram to end the,relationship_only,"Haider kneels before Khurram to end the conflict, but not because of any gender-based expectations.",2,"Haider kneels before Khurram to end the conflict, but not because of any gender-based expectations.",2
Haider,,Haider,male,Khurram claps gently. He inches closer towards Haider and,occupation_gap,Khurram approaches Haider with a gentle clap and,3,Khurram approaches Haider with a gentle clap and,1
Haider,,Haider,male,"Haider is silent. Khurram pulls down his mask, to reveal his",occupation_gap,"Haider is silent. Khurram removes his mask, to reveal his",3,"Haider is silent. Khurram removes his mask, to reveal his",1
Haider,,Zahoor Hussain,male,Who wrote this play? Zahoor Hussain?  Or was it,occupation_gap,"Who wrote this play? Zahoor Hussain?  Or was it someone else?""

Line: ""She's a nurse.  She'",3,"Who wrote this play? Zahoor Hussain?  Or was it someone else?""

Line: ""She's a nurse.  She'",1
Haider,,Haider,male,"Haider is shocked, his eyes dart towards Arshia who is",occupation_gap,"Haider is surprised to see Arshia, who is",3,"Haider is surprised to see Arshia, who is",1
Haider,,Haider,male,Haider is seething with anger. Khurram looks at Parvez and,occupation_gap,"Haider is seething with anger. Khurram looks at Parvez, who is calmly trying to de-escalate the situation.",3,"Haider is seething with anger. Khurram looks at Parvez, who is calmly trying to de-escalate the situation.",1
Haider,,Ghazala,female,nods. Parvez nods to a policeman in turn. Ghazala looks at,occupation_gap,"nods. Parvez nods to a policeman in turn. Ghazala, a determined and ambitious young woman, looks at",3,"nods. Parvez nods to a policeman in turn. Ghazala, a determined and ambitious young woman, looks at",1
Haider,,Haider,male,Haider looks at the policeman walking towards him. He,occupation_gap,Haider observes the policeman approaching him.,3,Haider observes the policeman approaching him.,1
Haider,,Salman,male,Salman and Salman appear from nowhere. One of them hits,occupation_gap,Two men emerge from the shadows. One of them lunges forward and strikes,3,Two men emerge from the shadows. One of them lunges forward and strikes,1
Haider,,Haider,male,him hard on the back of his head with a wooden log. Haider,occupation_gap,"Haider, determined to succeed, worked tirelessly to build his business.",3,"Haider, determined to succeed, worked tirelessly to build his business.",1
Haider,,Ghazala,female,"an injection on his arm. Ghazala sits next to him, silently",agency_gap,Ghazala silently observes as he receives an injection on his arm.,3,Ghazala silently observes as he receives an injection on his arm.,1
Haider,,Ghazala,female,Khurram sits next to Ghazala who still brushes Haider’s,relationship_only,"Khurram and Ghazala sit next to Haider, each with their own tasks and responsibilities.",2,"Khurram and Ghazala sit next to Haider, each with their own tasks and responsibilities.",2
Haider,,Ghazala,female,Ghazala. He looks at Haider sleeping like a baby.,appearance_focus,Ghazala. She gazes at Haider sleeping peacefully.,2,Ghazala. She gazes at Haider sleeping peacefully.,2
Haider,,Haider,male,don’t care if Haider has to die.,agency_gap,Haider is willing to risk his life to save the world.,3,Haider is willing to risk his life to save the world.,1
Haider,,Ghazala,female,Haider sleeps on the bed. Ghazala sleeps next to him on a,relationship_only,"Haider and Ghazala share a bed, each with their own space.",2,"Haider and Ghazala share a bed, each with their own space.",2
Haider,,Haider,male,next to Haider and slowly takes Ghazala’s hand off his chest,relationship_only,"Haider and Ghazala hold hands, both equally invested in their relationship.",2,"Haider and Ghazala hold hands, both equally invested in their relationship.",2
Haider,,Ghazala,female,Ghazala slowly wakes up. Hilaal looks at her expressionless.,occupation_gap,"Ghazala opens her eyes and looks at Hilaal, who is concerned about her.",3,"Ghazala opens her eyes and looks at Hilaal, who is concerned about her.",1
Haider,,Haider,male,She is shocked. Hilaal looks back at the sleeping Haider and,relationship_only,"Hilaal looks back at the sleeping Haider, and she feels a mix of emotions.",2,"Hilaal looks back at the sleeping Haider, and she feels a mix of emotions.",2
Haider,,Ghazala,female,"comes out and looks at Ghazala, she is still asleep.",appearance_focus,Ghazala is still asleep as she comes out.,2,Ghazala is still asleep as she comes out.,2
Haider,,Haider,male,"prayer, his back towards Haider. Khurram murmurs the",occupation_gap,Haider turns away from Khurram as he prays.,3,Haider turns away from Khurram as he prays.,1
Haider,,Salman,male,"Parvez drives up at the house, followed by Salman and",occupation_gap,"Parvez, Salman, and others arrive at the house.",3,"Parvez, Salman, and others arrive at the house.",1
Haider,,Salman,male,"Salman in a jeep. The guards salute Parvez, as he steps out",occupation_gap,"Salman and Parvez, both in their own vehicles, drive up to the guards. The guards salute them as they step out.",3,"Salman and Parvez, both in their own vehicles, drive up to the guards. The guards salute them as they step out.",1
Haider,,Haider,male,"Haider is now right behind him, his hand trembles as he raises",occupation_gap,"Haider steps forward, his hand steady as he raises",3,"Haider steps forward, his hand steady as he raises",1
Haider,,Haider,male,ﬂinch an inch. Haider’s ﬁnger is on the trigger.,occupation_gap,"Haider's finger is on the trigger, ready to act.",3,"Haider's finger is on the trigger, ready to act.",1
Haider,,Salman,male,Haider comes out of the prayer room to face Salman and,occupation_gap,Haider emerges from the prayer room and confronts Salman.,3,Haider emerges from the prayer room and confronts Salman.,1
Haider,,Salman,male,Salman along with Parvez standing at the door.,occupation_gap,Salman and Parvez stand at the door.,3,Salman and Parvez stand at the door.,1
Haider,,Salman,male,"Parvez lunges at him, Haider’s pistol ﬂies away. Salman and",occupation_gap,"Parvez lunges at him, but Haider manages to dodge the attack. Salman and",3,"Parvez lunges at him, but Haider manages to dodge the attack. Salman and",1
Haider,,Ghazala,female,Ghazala comes out hearing the commotion. Khurram walks,occupation_gap,Ghazala hears the commotion and rushes out to see what's happening. Khurram follows her.,3,Ghazala hears the commotion and rushes out to see what's happening. Khurram follows her.,1
Haider,,Salman,male,out still wearing his prayer cap. Salman and Salman hold,occupation_gap,"Salman, still wearing his prayer cap, holds a conversation with his friend.",3,"Salman, still wearing his prayer cap, holds a conversation with his friend.",1
Haider,,Haider,male,a fuming Haider. Parvez ties Haider’s hands with his red,occupation_gap,"Haider, frustrated, ties his own hands with red.",3,"Haider, frustrated, ties his own hands with red.",1
